Ritsumeikan University SR Center BL-10
18121210.dat
2018/12/12,17:14:20,17:32:54
コメント:,CaCO3
分光結晶:,Si(220), 2d= 0.384 nm
測定モード:,PhotonEnergy
ブロック数:,8
全測定点数:,246
 ,BorderAngle,BorderPE,DivNum,Step,Waiting(sec),Dwell(sec)
Block 0,53.82217,4000
Block 1,53.43417,4020,10,2,1,3
Block 2,53.33832,4025,10,0.5,1,3
Block 3,52.94064,4046,105,0.2,1,3
Block 4,52.79118,4054,25,0.32,1,3
Block 5,52.42229,4074,40,0.5,1,3
Block 6,51.95261,4100,20,1.3,1,3
Block 7,51.42392,4130,15,2,1,3
Block 8,50.24188,4200,20,3.5,1,3

Calculatedθ(deg.),Observedθ(deg.),hν(eV),Io(cps), SDD1(cps),SDD2(cps),SDD3(cps),TEY(cps),PEY(cps),Transmission(cps),RingCurrent(mA)
53.82217, 53.82222, 4000.00, 2477.667, 240, 202.6667, 379.6667, 751.3333, 0, 0, 76.166
53.78303, 53.78333, 4001.98, 2471, 236.3333, 204.6667, 372, 750.6667, 0, 0, 76.047
53.74397, 53.74417, 4003.99, 2461.333, 267, 228, 415, 749.3333, 0, 0, 76.152
53.70499, 53.70528, 4005.99, 2459.667, 297, 264.3333, 446.3333, 750.6667, 0, 0, 76.091
53.66607, 53.66667, 4007.97, 2451, 337, 288, 489, 749.3333, 0, 0, 76.051
53.62724, 53.62778, 4009.97, 2442.333, 364.6667, 316.3333, 513.6667, 747.3333, 0, 0, 76.10533
53.58847, 53.58889, 4011.98, 2435, 404.6667, 343, 563.6667, 747.3333, 0, 0, 76.101
53.54979, 53.55028, 4013.98, 2427, 476, 410.3333, 639.3333, 746.3333, 0, 0, 75.987
53.51117, 53.51139, 4015.99, 2423, 546.6667, 460.6667, 736.3333, 747.3333, 0, 0, 76.09634
53.47263, 53.47278, 4017.99, 2415, 641.3333, 542.3333, 847.6667, 748.3333, 0, 0, 75.932
