  9809     SPring-8 14b2 
 Co-K_Co-foil_S  14.06.17 08:08 - 14.06.17 08:10
 Co-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 31.10606 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4501
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       31.00000  24.20000    -0.001510       0.03      4501
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   354.100   118.600
  30.99698  30.99576     0.030      7849      1676
  30.99547  30.99414     0.030      7842      1675
  30.99396  30.99263     0.030      7861      1680
  30.99245  30.99127     0.030      7864      1680
  30.99094  30.98995     0.030      7870      1683
  30.98943  30.98847     0.030      7877      1685
  30.98792  30.98684     0.030      7870      1684
  30.98641  30.98516     0.030      7899      1688
  30.98490  30.98356     0.030      7895      1688
  30.98339  30.98211     0.030      7905      1693
  30.98188  30.98076     0.030      7914      1693
  30.98037  30.97941     0.030      7923      1694
  30.97886  30.97786     0.030      7941      1699
  30.97735  30.97617     0.030      7929      1697
  30.97584  30.97453     0.030      7950      1701
  30.97433  30.97297     0.030      7946      1702
  30.97282  30.97157     0.030      7949      1705
  30.97131  30.97024     0.030      7966      1706
  30.96980  30.96881     0.030      7963      1708
  30.96829  30.96720     0.030      7999      1712
  30.96678  30.96551     0.030      7979      1711
  30.96527  30.96390     0.030      7996      1713
  30.96376  30.96242     0.030      8001      1717
  30.96225  30.96106     0.030      8006      1714
  30.96074  30.95973     0.030      8025      1721
  30.95923  30.95822     0.030      8028      1721
  30.95772  30.95657     0.030      8033      1721
  30.95621  30.95490     0.030      8033      1725
  30.95470  30.95331     0.030      8042      1725
  30.95319  30.95189     0.030      8052      1730
  30.95168  30.95055     0.030      8055      1728
  30.95017  30.94916     0.030      8062      1731
  30.94866  30.94759     0.030      8072      1734
  30.94715  30.94588     0.030      8094      1737
  30.94564  30.94425     0.030      8087      1738
  30.94413  30.94272     0.030      8096      1740
  30.94262  30.94134     0.030      8112      1742
  30.94111  30.94001     0.030      8086      1743
  30.93960  30.93855     0.030      8113      1747
  30.93809  30.93692     0.030      8124      1746
  30.93658  30.93524     0.030      8127      1749
  30.93507  30.93364     0.030      8131      1749
  30.93356  30.93218     0.030      8148      1753
  30.93205  30.93084     0.030      8160      1755
  30.93054  30.92949     0.030      8139      1754
  30.92903  30.92795     0.030      8168      1760
  30.92752  30.92626     0.030      8167      1759
  30.92601  30.92461     0.030      8181      1761
  30.92450  30.92304     0.030      8193      1766
  30.92299  30.92164     0.030      8187      1762
  30.92148  30.92031     0.030      8205      1768
  30.91997  30.91889     0.030      8199      1766
  30.91846  30.91729     0.030      8222      1775
  30.91695  30.91558     0.030      8211      1772
  30.91544  30.91396     0.030      8222      1774
  30.91393  30.91246     0.030      8240      1780
  30.91242  30.91110     0.030      8232      1775
  30.91091  30.90978     0.030      8251      1782
  30.90940  30.90827     0.030      8255      1781
  30.90789  30.90662     0.030      8262      1784
  30.90638  30.90496     0.030      8285      1787
  30.90487  30.90338     0.030      8277      1787
  30.90336  30.90195     0.030      8282      1791
  30.90185  30.90061     0.030      8293      1792
  30.90034  30.89923     0.030      8305      1794
  30.89883  30.89766     0.030      8305      1794
  30.89732  30.89596     0.030      8305      1796
  30.89581  30.89433     0.030      8323      1800
  30.89430  30.89280     0.030      8323      1799
  30.89279  30.89141     0.030      8331      1802
  30.89128  30.89009     0.030      8344      1803
  30.88977  30.88862     0.030      8348      1805
  30.88826  30.88700     0.030      8362      1808
  30.88675  30.88530     0.030      8351      1807
  30.88524  30.88369     0.030      8374      1812
  30.88373  30.88223     0.030      8372      1814
  30.88222  30.88089     0.030      8397      1818
  30.88071  30.87955     0.030      8379      1817
  30.87920  30.87802     0.030      8409      1818
  30.87769  30.87635     0.030      8398      1820
  30.87618  30.87470     0.030      8397      1822
  30.87467  30.87313     0.030      8412      1824
  30.87316  30.87172     0.030      8420      1825
  30.87165  30.87039     0.030      8436      1828
  30.87014  30.86898     0.030      8427      1829
  30.86863  30.86739     0.030      8441      1830
  30.86712  30.86569     0.030      8467      1835
  30.86561  30.86406     0.030      8452      1830
  30.86410  30.86256     0.030      8474      1839
  30.86259  30.86119     0.030      8465      1838
  30.86108  30.85986     0.030      8479      1839
  30.85957  30.85836     0.030      8494      1843
  30.85806  30.85671     0.030      8483      1843
  30.85655  30.85504     0.030      8503      1848
  30.85504  30.85345     0.030      8507      1846
  30.85353  30.85202     0.030      8524      1849
  30.85202  30.85068     0.030      8524      1853
  30.85051  30.84932     0.030      8515      1852
  30.84900  30.84776     0.030      8547      1856
  30.84749  30.84608     0.030      8538      1857
  30.84598  30.84444     0.030      8551      1860
  30.84447  30.84290     0.030      8558      1863
  30.84296  30.84151     0.030      8561      1861
  30.84145  30.84018     0.030      8595      1868
  30.83994  30.83874     0.030      8571      1867
  30.83843  30.83713     0.030      8596      1869
  30.83692  30.83543     0.030      8593      1872
  30.83541  30.83382     0.030      8617      1875
  30.83390  30.83234     0.030      8616      1876
  30.83239  30.83098     0.030      8616      1877
  30.83088  30.82965     0.030      8620      1879
  30.82937  30.82812     0.030      8643      1882
  30.82786  30.82646     0.030      8641      1883
  30.82635  30.82481     0.030      8642      1884
  30.82484  30.82324     0.030      8660      1890
  30.82333  30.82183     0.030      8665      1888
  30.82182  30.82050     0.030      8675      1892
  30.82031  30.81911     0.030      8694      1896
  30.81880  30.81753     0.030      8684      1892
  30.81729  30.81583     0.030      8697      1899
  30.81578  30.81420     0.030      8683      1895
  30.81427  30.81268     0.030      8707      1900
  30.81276  30.81131     0.030      8715      1903
  30.81125  30.80998     0.030      8718      1901
  30.80974  30.80850     0.030      8739      1912
  30.80823  30.80686     0.030      8720      1906
  30.80672  30.80518     0.030      8758      1912
  30.80521  30.80357     0.030      8752      1912
  30.80370  30.80212     0.030      8747      1912
  30.80219  30.80078     0.030      8764      1917
  30.80068  30.79942     0.030      8758      1917
  30.79917  30.79788     0.030      8792      1922
  30.79766  30.79619     0.030      8784      1921
  30.79615  30.79455     0.030      8782      1924
  30.79464  30.79300     0.030      8800      1927
  30.79313  30.79161     0.030      8784      1924
  30.79162  30.79028     0.030      8824      1933
  30.79011  30.78885     0.030      8811      1932
  30.78860  30.78725     0.030      8840      1935
  30.78709  30.78554     0.030      8839      1939
  30.78558  30.78392     0.030      8837      1937
  30.78407  30.78244     0.030      8864      1943
  30.78256  30.78107     0.030      8842      1939
  30.78105  30.77974     0.030      8867      1943
  30.77954  30.77821     0.030      8864      1944
  30.77803  30.77655     0.030      8885      1948
  30.77652  30.77488     0.030      8893      1950
  30.77501  30.77329     0.030      8886      1951
  30.77350  30.77187     0.030      8919      1956
  30.77199  30.77054     0.030      8902      1953
  30.77048  30.76916     0.030      8924      1960
  30.76897  30.76758     0.030      8912      1958
  30.76746  30.76589     0.030      8938      1960
  30.76595  30.76426     0.030      8946      1964
  30.76444  30.76273     0.030      8930      1964
  30.76293  30.76135     0.030      8976      1969
  30.76142  30.76003     0.030      8942      1966
  30.75991  30.75855     0.030      8969      1971
  30.75840  30.75693     0.030      8976      1974
  30.75689  30.75524     0.030      8975      1975
  30.75538  30.75363     0.030      9007      1980
  30.75387  30.75217     0.030      8988      1974
  30.75236  30.75082     0.030      9012      1984
  30.75085  30.74947     0.030      8993      1981
  30.74934  30.74791     0.030      9023      1984
  30.74783  30.74622     0.030      9027      1987
  30.74632  30.74458     0.030      9017      1987
  30.74481  30.74302     0.030      9056      1993
  30.74330  30.74163     0.030      9027      1989
  30.74179  30.74031     0.030      9069      1995
  30.74028  30.73889     0.030      9052      1994
  30.73877  30.73729     0.030      9054      1995
  30.73726  30.73559     0.030      9064      2001
  30.73575  30.73398     0.030      9069      1998
  30.73424  30.73248     0.030      9091      2004
  30.73273  30.73111     0.030      9083      2003
  30.73122  30.72979     0.030      9104      2006
  30.72971  30.72827     0.030      9100      2006
  30.72820  30.72662     0.030      9101      2007
  30.72669  30.72495     0.030      9120      2013
  30.72518  30.72336     0.030      9116      2011
  30.72367  30.72193     0.030      9137      2018
  30.72216  30.72058     0.030      9135      2016
  30.72065  30.71920     0.030      9152      2021
  30.71914  30.71763     0.030      9141      2019
  30.71763  30.71593     0.030      9142      2021
  30.71612  30.71430     0.030      9165      2027
  30.71461  30.71278     0.030      9168      2022
  30.71310  30.71140     0.030      9194      2031
  30.71159  30.71008     0.030      9167      2029
  30.71008  30.70862     0.030      9197      2032
  30.70857  30.70700     0.030      9195      2033
  30.70706  30.70531     0.030      9202      2033
  30.70555  30.70371     0.030      9221      2039
  30.70404  30.70224     0.030      9200      2037
  30.70253  30.70089     0.030      9243      2045
  30.70102  30.69955     0.030      9232      2042
  30.69951  30.69800     0.030      9242      2045
  30.69800  30.69632     0.030      9265      2048
  30.69649  30.69467     0.030      9231      2045
  30.69498  30.69310     0.030      9259      2053
  30.69347  30.69169     0.030      9250      2051
  30.69196  30.69036     0.030      9284      2057
  30.69045  30.68894     0.030      9264      2054
  30.68894  30.68736     0.030      9288      2058
  30.68743  30.68567     0.030      9295      2062
  30.68592  30.68405     0.030      9272      2059
  30.68441  30.68255     0.030      9315      2068
  30.68290  30.68119     0.030      9306      2064
  30.68139  30.67986     0.030      9323      2068
  30.67988  30.67836     0.030      9335      2073
  30.67837  30.67671     0.030      9327      2071
  30.67686  30.67504     0.030      9347      2076
  30.67535  30.67345     0.030      9342      2073
  30.67384  30.67201     0.030      9359      2079
  30.67233  30.67066     0.030      9363      2079
  30.67082  30.66929     0.030      9373      2081
  30.66931  30.66773     0.030      9387      2086
  30.66780  30.66603     0.030      9375      2083
  30.66629  30.66439     0.030      9402      2088
  30.66478  30.66284     0.030      9381      2086
  30.66327  30.66146     0.030      9417      2091
  30.66176  30.66014     0.030      9397      2091
  30.66025  30.65869     0.030      9413      2094
  30.65874  30.65709     0.030      9438      2100
  30.65723  30.65539     0.030      9432      2098
  30.65572  30.65378     0.030      9441      2103
  30.65421  30.65232     0.030      9433      2099
  30.65270  30.65096     0.030      9449      2106
  30.65119  30.64962     0.030      9460      2106
  30.64968  30.64809     0.030      9466      2107
  30.64817  30.64642     0.030      9499      2113
  30.64666  30.64476     0.030      9468      2108
  30.64515  30.64318     0.030      9503      2117
  30.64364  30.64177     0.030      9486      2112
  30.64213  30.64044     0.030      9509      2119
  30.64062  30.63903     0.030      9508      2119
  30.63911  30.63744     0.030      9508      2119
  30.63760  30.63574     0.030      9546      2128
  30.63609  30.63411     0.030      9526      2122
  30.63458  30.63260     0.030      9546      2130
  30.63307  30.63124     0.030      9540      2129
  30.63156  30.62992     0.030      9541      2130
  30.63005  30.62843     0.030      9553      2131
  30.62854  30.62680     0.030      9577      2136
  30.62703  30.62512     0.030      9576      2137
  30.62552  30.62353     0.030      9563      2136
  30.62401  30.62208     0.030      9579      2140
  30.62250  30.62074     0.030      9596      2145
  30.62099  30.61938     0.030      9586      2144
  30.61948  30.61781     0.030      9593      2146
  30.61797  30.61612     0.030      9602      2145
  30.61646  30.61449     0.030      9622      2155
  30.61495  30.61293     0.030      9611      2149
  30.61344  30.61154     0.030      9632      2154
  30.61193  30.61021     0.030      9637      2154
  30.61042  30.60877     0.030      9635      2155
  30.60891  30.60716     0.030      9663      2162
  30.60740  30.60546     0.030      9645      2159
  30.60589  30.60386     0.030      9663      2164
  30.60438  30.60238     0.030      9662      2166
  30.60287  30.60103     0.030      9686      2166
  30.60136  30.59970     0.030      9687      2167
  30.59985  30.59818     0.030      9679      2168
  30.59834  30.59653     0.030      9704      2174
  30.59683  30.59487     0.030      9690      2172
  30.59532  30.59328     0.030      9717      2176
  30.59381  30.59186     0.030      9713      2177
  30.59230  30.59053     0.030      9712      2180
  30.59079  30.58914     0.030      9731      2182
  30.58928  30.58756     0.030      9724      2181
  30.58777  30.58586     0.030      9732      2186
  30.58626  30.58423     0.030      9742      2186
  30.58475  30.58270     0.030      9755      2189
  30.58324  30.58132     0.030      9754      2189
  30.58173  30.58000     0.030      9764      2194
  30.58022  30.57852     0.030      9778      2195
  30.57871  30.57689     0.030      9773      2195
  30.57720  30.57522     0.030      9768      2196
  30.57569  30.57362     0.030      9798      2201
  30.57418  30.57217     0.030      9779      2199
  30.57267  30.57082     0.030      9814      2204
  30.57116  30.56948     0.030      9817      2203
  30.56965  30.56793     0.030      9803      2206
  30.56814  30.56625     0.030      9819      2209
  30.56663  30.56461     0.030      9827      2211
  30.56512  30.56304     0.030      9833      2213
  30.56361  30.56164     0.030      9841      2213
  30.56210  30.56032     0.030      9851      2217
  30.56059  30.55889     0.030      9845      2217
  30.55908  30.55729     0.030      9862      2219
  30.55757  30.55559     0.030      9866      2224
  30.55606  30.55397     0.030      9866      2223
  30.55455  30.55247     0.030      9889      2224
  30.55304  30.55111     0.030      9882      2228
  30.55153  30.54978     0.030      9906      2231
  30.55002  30.54828     0.030      9898      2229
  30.54851  30.54663     0.030      9896      2233
  30.54700  30.54497     0.030      9895      2234
  30.54549  30.54339     0.030      9913      2237
  30.54398  30.54196     0.030      9937      2240
  30.54247  30.54062     0.030      9912      2238
  30.54096  30.53925     0.030      9963      2244
  30.53945  30.53769     0.030      9926      2243
  30.53794  30.53599     0.030      9952      2245
  30.53643  30.53436     0.030      9949      2247
  30.53492  30.53282     0.030      9948      2246
  30.53341  30.53144     0.030      9970      2255
  30.53190  30.53012     0.030      9959      2248
  30.53039  30.52866     0.030      9988      2254
  30.52888  30.52704     0.030      9985      2255
  30.52737  30.52534     0.030      9983      2256
  30.52586  30.52373     0.030     10016      2264
  30.52435  30.52227     0.030      9996      2259
  30.52284  30.52092     0.030     10029      2266
  30.52133  30.51959     0.030     10009      2266
  30.51982  30.51806     0.030     10008      2264
  30.51831  30.51640     0.030     10033      2269
  30.51680  30.51475     0.030     10012      2268
  30.51529  30.51318     0.030     10038      2272
  30.51378  30.51177     0.030     10047      2275
  30.51227  30.51045     0.030     10053      2274
  30.51076  30.50904     0.030     10063      2278
  30.50925  30.50746     0.030     10050      2273
  30.50774  30.50576     0.030     10073      2282
  30.50623  30.50414     0.030     10053      2280
  30.50472  30.50262     0.030     10089      2285
  30.50321  30.50125     0.030     10085      2285
  30.50170  30.49993     0.030     10101      2289
  30.50019  30.49843     0.030     10119      2293
  30.49868  30.49680     0.030     10091      2288
  30.49717  30.49512     0.030     10116      2295
  30.49566  30.49352     0.030     10107      2294
  30.49415  30.49208     0.030     10133      2297
  30.49264  30.49074     0.030     10137      2299
  30.49113  30.48939     0.030     10135      2301
  30.48962  30.48785     0.030     10147      2303
  30.48811  30.48616     0.030     10125      2300
  30.48660  30.48452     0.030     10169      2307
  30.48509  30.48297     0.030     10151      2306
  30.48358  30.48157     0.030     10156      2311
  30.48207  30.48025     0.030     10174      2312
  30.48056  30.47881     0.030     10170      2310
  30.47905  30.47721     0.030     10190      2315
  30.47754  30.47550     0.030     10171      2315
  30.47603  30.47389     0.030     10197      2320
  30.47452  30.47240     0.030     10175      2317
  30.47301  30.47103     0.030     10196      2322
  30.47150  30.46970     0.030     10212      2324
  30.46999  30.46818     0.030     10194      2321
  30.46848  30.46651     0.030     10241      2329
  30.46697  30.46485     0.030     10209      2325
  30.46546  30.46327     0.030     10246      2330
  30.46395  30.46186     0.030     10238      2330
  30.46244  30.46053     0.030     10232      2331
  30.46093  30.45914     0.030     10258      2336
  30.45942  30.45757     0.030     10233      2330
  30.45791  30.45586     0.030     10261      2338
  30.45640  30.45423     0.030     10248      2337
  30.45489  30.45270     0.030     10270      2341
  30.45338  30.45132     0.030     10269      2340
  30.45187  30.45000     0.030     10249      2340
  30.45036  30.44851     0.030     10299      2346
  30.44885  30.44688     0.030     10276      2343
  30.44734  30.44519     0.030     10300      2353
  30.44583  30.44357     0.030     10293      2348
  30.44432  30.44212     0.030     10292      2347
  30.44281  30.44077     0.030     10312      2354
  30.44130  30.43941     0.030     10270      2345
  30.43979  30.43786     0.030     10310      2353
  30.43828  30.43617     0.030     10269      2346
  30.43677  30.43454     0.030     10305      2354
  30.43526  30.43298     0.030     10299      2352
  30.43375  30.43159     0.030     10287      2350
  30.43224  30.43026     0.030     10296      2355
  30.43073  30.42883     0.030     10257      2343
  30.42922  30.42723     0.030     10291      2352
  30.42771  30.42552     0.030     10247      2343
  30.42620  30.42390     0.030     10234      2341
  30.42469  30.42241     0.030     10191      2334
  30.42318  30.42105     0.030     10095      2311
  30.42167  30.41972     0.030      9985      2280
  30.42016  30.41819     0.030      9341      2137
  30.41865  30.41652     0.030      8312      1903
  30.41714  30.41486     0.030      9894      2267
  30.41563  30.41327     0.030     10677      2445
  30.41412  30.41185     0.030     10649      2438
  30.41261  30.41052     0.030     10558      2419
  30.41110  30.40914     0.030     10565      2418
  30.40959  30.40757     0.030     10494      2406
  30.40808  30.40587     0.030     10490      2404
  30.40657  30.40424     0.030     10485      2402
  30.40506  30.40272     0.030     10439      2394
  30.40355  30.40135     0.030     10422      2391
  30.40204  30.40003     0.030     10384      2381
  30.40053  30.39855     0.030     10332      2370
  30.39902  30.39692     0.030     10194      2340
  30.39751  30.39523     0.030      9755      2238
  30.39600  30.39362     0.030      8867      2036
  30.39449  30.39217     0.030      9284      2130
  30.39298  30.39082     0.030      8601      1974
