  9809     SPring-8 14b2 
 Fe-K_Fe3N_Si11  12.11.17 12:54 - 12.11.17 12:58
 Fe3N                                                                            
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.09994 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4522
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.00000  13.20000    -0.000840       0.05      4522
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   481.200   358.400
  16.99832  16.99739     0.051     11297      6504
  16.99748  16.99650     0.051     11294      6498
  16.99664  16.99559     0.051     11299      6508
  16.99580  16.99471     0.051     11288      6504
  16.99496  16.99380     0.051     11293      6504
  16.99412  16.99294     0.051     11285      6506
  16.99328  16.99212     0.051     11277      6503
  16.99244  16.99132     0.051     11278      6510
  16.99160  16.99058     0.051     11266      6500
  16.99076  16.98989     0.051     11271      6509
  16.98992  16.98919     0.051     11261      6505
  16.98908  16.98845     0.051     11251      6504
  16.98824  16.98769     0.051     11243      6500
  16.98740  16.98682     0.051     11224      6490
  16.98656  16.98591     0.051     11210      6482
  16.98572  16.98502     0.051     11163      6461
  16.98488  16.98412     0.051     11116      6434
  16.98404  16.98323     0.051     10976      6357
  16.98320  16.98240     0.051     10722      6216
  16.98236  16.98159     0.051     10305      5977
  16.98152  16.98081     0.051      9841      5710
  16.98068  16.98011     0.051      9571      5555
  16.97984  16.97941     0.051      9669      5609
  16.97900  16.97867     0.051     10122      5872
  16.97816  16.97792     0.051     10659      6185
  16.97732  16.97709     0.051     11031      6403
  16.97648  16.97617     0.051     11198      6503
  16.97564  16.97529     0.051     11228      6525
  16.97480  16.97440     0.051     11240      6536
  16.97396  16.97349     0.051     11227      6531
  16.97312  16.97265     0.051     11222      6531
  16.97228  16.97184     0.051     11191      6516
  16.97144  16.97105     0.051     11166      6506
  16.97060  16.97033     0.051     11123      6482
  16.96976  16.96965     0.051     11053      6441
  16.96892  16.96892     0.051     10944      6378
  16.96808  16.96818     0.051     10735      6262
  16.96724  16.96739     0.051     10449      6101
  16.96640  16.96649     0.051     10114      5904
  16.96556  16.96559     0.051      9910      5789
  16.96472  16.96471     0.051     10006      5845
  16.96388  16.96380     0.051     10391      6068
  16.96304  16.96294     0.051     10925      6381
  16.96220  16.96213     0.051     11326      6620
  16.96136  16.96132     0.051     11535      6744
  16.96052  16.96058     0.051     11562      6764
  16.95968  16.95990     0.051     11556      6761
  16.95884  16.95918     0.051     11540      6759
  16.95800  16.95845     0.051     11526      6753
  16.95716  16.95768     0.051     11524      6753
  16.95632  16.95681     0.051     11504      6745
  16.95548  16.95590     0.051     11508      6750
  16.95464  16.95501     0.051     11492      6740
  16.95380  16.95410     0.051     11493      6744
  16.95296  16.95320     0.051     11490      6746
  16.95212  16.95237     0.051     11483      6743
  16.95128  16.95156     0.051     11482      6746
  16.95044  16.95079     0.051     11473      6745
  16.94960  16.95009     0.051     11480      6749
  16.94876  16.94939     0.051     11469      6749
  16.94792  16.94866     0.051     11471      6749
  16.94708  16.94791     0.051     11471      6754
  16.94624  16.94707     0.051     11465      6753
  16.94540  16.94616     0.051     11471      6757
  16.94456  16.94527     0.051     11461      6755
  16.94372  16.94437     0.051     11472      6766
  16.94288  16.94347     0.051     11461      6761
  16.94204  16.94263     0.051     11462      6762
  16.94120  16.94182     0.051     11466      6768
  16.94036  16.94103     0.051     11461      6765
  16.93952  16.94032     0.051     11468      6770
  16.93868  16.93963     0.051     11457      6769
  16.93784  16.93890     0.051     11466      6776
  16.93700  16.93816     0.051     11458      6777
  16.93616  16.93736     0.051     11463      6782
  16.93532  16.93646     0.051     11466      6786
  16.93448  16.93555     0.051     11460      6786
  16.93364  16.93467     0.051     11464      6791
  16.93280  16.93376     0.051     11461      6790
  16.93196  16.93290     0.051     11474      6798
  16.93112  16.93209     0.051     11461      6795
  16.93028  16.93128     0.051     11473      6803
  16.92944  16.93054     0.051     11474      6805
  16.92860  16.92985     0.051     11469      6804
  16.92776  16.92913     0.051     11474      6811
  16.92692  16.92839     0.051     11467      6811
  16.92608  16.92762     0.051     11483      6819
  16.92524  16.92673     0.051     11466      6815
  16.92440  16.92581     0.051     11473      6822
  16.92356  16.92493     0.051     11478      6828
  16.92272  16.92401     0.051     11472      6826
  16.92188  16.92313     0.051     11483      6832
  16.92104  16.92230     0.051     11478      6833
  16.92020  16.92150     0.051     11486      6840
  16.91936  16.92074     0.051     11478      6839
  16.91852  16.92004     0.051     11482      6843
