  9809     SPring-8 14b2 
 Ni-K_HAVAR_Si3  20.02.14 00:10 - 20.02.14 00:13
 HAVAR                                                                           
 Ring :   8.0 GeV    99.6 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 28.38972 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4460
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       28.24000  22.58500    -0.001270       0.05      4460
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    47.500   119.700
  28.23873  28.23849     0.050      3409      1313
  28.23746  28.23709     0.050      3414      1317
  28.23619  28.23574     0.050      3419      1317
  28.23492  28.23448     0.050      3414      1317
  28.23365  28.23333     0.050      3401      1312
  28.23238  28.23226     0.050      3417      1317
  28.23111  28.23116     0.050      3419      1318
  28.22984  28.22993     0.050      3402      1312
  28.22857  28.22856     0.050      3409      1314
  28.22730  28.22716     0.050      3419      1318
  28.22603  28.22581     0.050      3407      1315
  28.22476  28.22454     0.050      3403      1312
  28.22349  28.22339     0.050      3421      1319
  28.22222  28.22231     0.050      3415      1317
  28.22095  28.22121     0.050      3401      1311
  28.21968  28.21998     0.050      3415      1317
  28.21841  28.21861     0.050      3414      1317
  28.21714  28.21721     0.050      3402      1312
  28.21587  28.21585     0.050      3401      1313
  28.21460  28.21458     0.050      3415      1317
  28.21333  28.21341     0.050      3406      1314
  28.21206  28.21233     0.050      3400      1311
  28.21079  28.21123     0.050      3413      1316
  28.20952  28.20999     0.050      3411      1318
  28.20825  28.20863     0.050      3396      1311
  28.20698  28.20722     0.050      3410      1316
  28.20571  28.20586     0.050      3409      1315
  28.20444  28.20459     0.050      3406      1313
  28.20317  28.20343     0.050      3399      1312
  28.20190  28.20236     0.050      3412      1317
  28.20063  28.20126     0.050      3404      1313
  28.19936  28.20004     0.050      3400      1311
  28.19809  28.19867     0.050      3408      1317
  28.19682  28.19726     0.050      3411      1318
  28.19555  28.19590     0.050      3404      1314
  28.19428  28.19463     0.050      3403      1314
  28.19301  28.19346     0.050      3411      1316
  28.19174  28.19237     0.050      3408      1316
  28.19047  28.19128     0.050      3402      1313
  28.18920  28.19004     0.050      3407      1316
  28.18793  28.18867     0.050      3410      1318
  28.18666  28.18727     0.050      3399      1314
  28.18539  28.18590     0.050      3406      1317
  28.18412  28.18462     0.050      3410      1317
  28.18285  28.18344     0.050      3410      1318
  28.18158  28.18236     0.050      3399      1313
  28.18031  28.18126     0.050      3410      1318
  28.17904  28.18003     0.050      3413      1319
  28.17777  28.17866     0.050      3402      1316
  28.17650  28.17725     0.050      3407      1318
  28.17523  28.17589     0.050      3408      1317
  28.17396  28.17461     0.050      3405      1316
  28.17269  28.17345     0.050      3404      1317
  28.17142  28.17236     0.050      3410      1319
  28.17015  28.17126     0.050      3402      1317
  28.16888  28.17003     0.050      3406      1316
  28.16761  28.16866     0.050      3411      1319
  28.16634  28.16725     0.050      3408      1320
  28.16507  28.16589     0.050      3404      1317
  28.16380  28.16461     0.050      3404      1318
  28.16253  28.16344     0.050      3413      1320
  28.16126  28.16236     0.050      3409      1318
  28.15999  28.16126     0.050      3405      1318
  28.15872  28.16002     0.050      3407      1318
