  9809     SPring-8 14b2 
 Ni-K_NiMoO4_Si  13.11.27 00:24 - 13.11.27 00:24
 NiMoO4                                                                          
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 14.51133 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4831
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       14.40000  11.50000    -0.000600       0.01      4831
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   166.800   115.300
  14.39880  14.39934     0.010      3806      2985
  14.39820  14.39875     0.010      3798      2984
  14.39760  14.39816     0.010      3795      2977
  14.39700  14.39761     0.010      3798      2982
  14.39640  14.39711     0.010      3798      2983
  14.39580  14.39661     0.010      3799      2981
  14.39520  14.39608     0.010      3796      2979
  14.39460  14.39554     0.010      3804      2988
  14.39400  14.39499     0.010      3803      2991
  14.39340  14.39442     0.010      3798      2984
  14.39280  14.39376     0.010      3800      2989
  14.39220  14.39307     0.010      3798      2989
  14.39160  14.39242     0.010      3798      2988
  14.39100  14.39178     0.010      3800      2991
  14.39040  14.39111     0.010      3802      2998
  14.38980  14.39044     0.010      3805      2997
  14.38920  14.38982     0.010      3799      2992
  14.38860  14.38923     0.010      3802      2998
  14.38800  14.38864     0.010      3802      3002
  14.38740  14.38806     0.010      3801      2996
  14.38680  14.38753     0.010      3801      2999
  14.38620  14.38703     0.010      3802      3006
  14.38560  14.38653     0.010      3803      3005
  14.38500  14.38599     0.010      3803      3002
  14.38440  14.38544     0.010      3802      3004
  14.38380  14.38489     0.010      3802      3006
  14.38320  14.38430     0.010      3804      3002
  14.38260  14.38363     0.010      3805      3009
  14.38200  14.38294     0.010      3807      3015
  14.38140  14.38228     0.010      3807      3011
  14.38080  14.38163     0.010      3804      3009
  14.38020  14.38096     0.010      3804      3017
  14.37960  14.38030     0.010      3804      3015
