   9809     AichiSR  BL5S1
 Ref Ti4O7       22.09.16 10:16 - 22.09.16 10:18
                                                                                 
 Ring :   1.2 GeV   300.2 mA -  300.3 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 23.66393 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4632
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        4665.33   6065.33        0.30       0.02      4634
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4466.100 10608.300 72342.100
  25.07231  25.07338    0.0234   5961834    954079    426042
  25.07100  25.07213    0.0234   5961834    954079    426042
  25.06969  25.07083    0.0234   5962604    955156    436429
  25.06839  25.06951    0.0234   5961184    956541    426158
  25.06708  25.06819    0.0234   5961224    955387    434274
  25.06578  25.06688    0.0234   5959724    958041    439468
  25.06447  25.06553    0.0234   5959564    958003    442276
  25.06317  25.06420    0.0234   5960524    958541    441891
  25.06186  25.06292    0.0234   5954914    957310    429889
  25.06056  25.06165    0.0234   5958374    960002    429408
  25.05925  25.06034    0.0234   5957454    960580    429928
  25.05794  25.05903    0.0234   5955604    960772    447546
  25.05664  25.05772    0.0234   5953834    960041    455624
  25.05533  25.05640    0.0234   5950874    965158    422965
  25.05403  25.05505    0.0234   5948374    963580    433197
  25.05272  25.05375    0.0234   5941604    962580    447199
  25.05142  25.05249    0.0234   5940104    962196    452893
  25.05011  25.05120    0.0234   5933064    962003    453354
  25.04881  25.04990    0.0234   5931094    967118    447219
  25.04750  25.04859    0.0234   5928064    964234    434390
  25.04619  25.04729    0.0234   5928644    964388    436198
  25.04489  25.04596    0.0234   5928374    967350    439737
  25.04358  25.04462    0.0234   5940484    970735    432851
  25.04228  25.04334    0.0234   5954024    972120    446738
  25.04097  25.04207    0.0234   5965764    975621    451892
  25.03967  25.04077    0.0234   5970414    974967    455739
  25.03836  25.03945    0.0234   5982414    977929    453931
  25.03706  25.03814    0.0234   5989184    978890    454336
  25.03575  25.03682    0.0234   5987344    982391    445007
  25.03444  25.03548    0.0234   5998264    984891    456701
  25.03314  25.03414    0.0234   5999844    985199    458086
  25.03183  25.03287    0.0234   6006034    985699    457201
  25.03053  25.03159    0.0234   6004694    987392    455355
