# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Cu1
# Reduced formula:  Cu
# space group: (Fm-3m), space number:  (225)
# abc:  2.529625   2.529625   2.529625
# angles: 60.000000  60.000000  60.000000
# sites: 1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.433 Rnm= 1.488 K  shell
# Pot 1 Z=29 Rmt= 1.359 Rnm= 1.402
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.472E+00 kf=1.806E+00 Vint=-1.591E+01 Rs_int= 2.008
# PATH  Rmax= 4.425,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5296
#           2       0.00000     23.24      6.00     2   3.5774
#           3       0.00000     12.39     48.00     3   3.7944
#           4       0.00000      9.23     48.00     3   4.3183
#           5       0.00000     56.14     24.00     2   4.3814
#     5/   5 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -8.496816E-01  8.497103E-01 -1.579007E+00
     0.0500   -8.489418E-01  8.489435E-01 -1.568847E+00
     0.1000   -8.480919E-01  8.481541E-01 -1.558690E+00
     0.1500   -8.449927E-01  8.457425E-01 -1.528687E+00
     0.2000   -8.409510E-01  8.431409E-01 -1.498707E+00
     0.2500   -8.325143E-01  8.386075E-01 -1.450176E+00
     0.3000   -8.217198E-01  8.336085E-01 -1.401706E+00
     0.3500   -8.037998E-01  8.263745E-01 -1.336519E+00
     0.4000   -7.819815E-01  8.183779E-01 -1.271439E+00
     0.4500   -7.505974E-01  8.079790E-01 -1.191651E+00
     0.5000   -7.142046E-01  7.965720E-01 -1.112026E+00
     0.5500   -6.668242E-01  7.827751E-01 -1.019549E+00
     0.6000   -6.142514E-01  7.678138E-01 -9.272961E-01
     0.6500   -5.507256E-01  7.505744E-01 -8.238085E-01
     0.7000   -4.830811E-01  7.321064E-01 -7.206204E-01
     0.7500   -4.061079E-01  7.115172E-01 -6.074350E-01
     0.8000   -3.274228E-01  6.897146E-01 -4.946482E-01
     0.8500   -2.425961E-01  6.659208E-01 -3.728830E-01
     0.9000   -1.596159E-01  6.409933E-01 -2.516614E-01
     0.9500   -7.497227E-02  6.141820E-01 -1.223737E-01
     1.0000    3.601999E-03  5.863726E-01  6.142889E-03
     1.0500    7.866147E-02  5.567826E-01  1.417529E-01
     1.1000    1.435527E-01  5.263850E-01  2.762131E-01
     1.1500    2.001029E-01  4.944462E-01  4.166519E-01
     1.2000    2.435345E-01  4.619448E-01  5.552951E-01
     1.2500    2.753081E-01  4.282279E-01  6.982798E-01
     1.3000    2.931286E-01  3.942583E-01  8.382798E-01
     1.3500    2.986910E-01  3.596226E-01  9.801266E-01
     1.4000    2.921814E-01  3.251359E-01  1.116668E+00
     1.4500    2.760505E-01  2.908102E-01  1.250831E+00
     1.5000    2.523046E-01  2.572256E-01  1.374877E+00
     1.5500    2.243209E-01  2.250794E-01  1.488677E+00
     1.6000    1.947557E-01  1.947688E-01  1.582393E+00
     1.6500    1.670136E-01  1.675572E-01  1.651371E+00
     1.7000    1.435082E-01  1.444354E-01  1.684167E+00
     1.7500    1.267102E-01  1.274300E-01  1.677130E+00
     1.8000    1.172755E-01  1.175502E-01  1.639174E+00
     1.8500    1.159326E-01  1.159711E-01  1.596573E+00
     1.9000    1.206762E-01  1.206871E-01  1.584265E+00
     1.9500    1.303402E-01  1.305117E-01  1.622056E+00
     2.0000    1.406275E-01  1.419497E-01  1.707392E+00
     2.0500    1.501713E-01  1.554676E-01  1.832568E+00
     2.1000    1.526324E-01  1.674520E-01  1.994679E+00
     2.1500    1.446713E-01  1.767090E-01  2.182452E+00
     2.2000    1.248792E-01  1.825642E-01  2.388321E+00
     2.2500    9.189956E-02  1.834131E-01  2.616778E+00
     2.3000    5.153562E-02  1.803539E-01  2.851807E+00
     2.3500    8.393117E-03  1.735322E-01  3.093207E+00
     2.4000   -3.240661E-02  1.631573E-01  3.341544E+00
     2.4500   -6.345017E-02  1.573480E-01  3.556655E+00
     2.5000   -8.890794E-02  1.503570E-01  3.774278E+00
     2.5500   -1.071320E-01  1.422459E-01  3.994425E+00
     2.6000   -1.171022E-01  1.330865E-01  4.217235E+00
     2.6500   -1.226506E-01  1.265776E-01  4.462646E+00
     2.7000   -1.193983E-01  1.193984E-01  4.711412E+00
     2.7500   -1.080954E-01  1.116097E-01  4.964001E+00
     2.8000   -9.020075E-02  1.032805E-01  5.221132E+00
     2.8500   -6.861884E-02  9.865194E-02  5.513979E+00
     2.9000   -4.274874E-02  9.374647E-02  5.809686E+00
     2.9500   -1.538463E-02  8.860927E-02  6.108678E+00
     3.0000    1.065762E-02  8.328882E-02  6.411497E+00
     3.0500    3.583902E-02  8.197714E-02  6.735650E+00
     3.1000    5.631384E-02  8.045201E-02  7.058538E+00
     3.1500    7.004794E-02  7.871619E-02  7.380267E+00
     3.2000    7.587838E-02  7.677590E-02  7.700927E+00
     3.2500    7.737546E-02  7.834945E-02  8.011824E+00
     3.3000    7.107893E-02  7.952382E-02  8.319015E+00
     3.3500    5.772722E-02  8.030749E-02  8.622664E+00
     3.4000    3.883302E-02  8.071531E-02  8.922856E+00
     3.4500    1.798302E-02  8.221971E-02  9.204276E+00
     3.5000   -4.752203E-03  8.316188E-02  9.481953E+00
     3.5500   -2.713403E-02  8.356849E-02  9.755464E+00
     3.6000   -4.710252E-02  8.347707E-02  1.002431E+01
     3.6500   -6.261222E-02  8.304351E-02  1.027886E+01
     3.7000   -7.315487E-02  8.194293E-02  1.052820E+01
     3.7500   -7.821813E-02  8.023255E-02  1.077102E+01
     3.8000   -7.799228E-02  7.799633E-02  1.100576E+01
     3.8500   -7.318498E-02  7.527652E-02  1.123185E+01
     3.9000   -6.485922E-02  7.209236E-02  1.144736E+01
     3.9500   -5.445420E-02  6.860708E-02  1.164949E+01
     4.0000   -4.343652E-02  6.504334E-02  1.183511E+01
     4.0500   -3.239960E-02  6.122690E-02  1.200875E+01
     4.1000   -2.279085E-02  5.776345E-02  1.216079E+01
     4.1500   -1.503498E-02  5.504286E-02  1.228970E+01
     4.2000   -8.973468E-03  5.349051E-02  1.239782E+01
     4.2500   -3.697664E-03  5.279325E-02  1.249627E+01
     4.3000    1.243170E-03  5.373324E-02  1.258951E+01
     4.3500    6.955425E-03  5.636460E-02  1.269009E+01
     4.4000    1.447794E-02  6.053062E-02  1.280790E+01
     4.4500    2.409083E-02  6.540144E-02  1.294361E+01
     4.5000    3.622229E-02  7.121326E-02  1.309998E+01
     4.5500    5.055853E-02  7.764912E-02  1.327542E+01
     4.6000    6.616815E-02  8.442139E-02  1.346711E+01
     4.6500    8.110454E-02  9.081885E-02  1.367042E+01
     4.7000    9.403859E-02  9.712995E-02  1.388420E+01
     4.7500    1.031279E-01  1.031774E-01  1.410619E+01
     4.8000    1.066992E-01  1.088107E-01  1.433449E+01
     4.8500    1.034443E-01  1.136886E-01  1.456494E+01
     4.9000    9.306489E-02  1.179604E-01  1.479886E+01
     4.9500    7.575080E-02  1.215416E-01  1.503507E+01
     5.0000    5.246455E-02  1.243674E-01  1.527248E+01
     5.0500    2.496716E-02  1.262449E-01  1.550888E+01
     5.1000   -4.674791E-03  1.273308E-01  1.574469E+01
     5.1500   -3.415635E-02  1.276236E-01  1.597890E+01
     5.2000   -6.124073E-02  1.271466E-01  1.621050E+01
     5.2500   -8.393915E-02  1.257177E-01  1.643905E+01
     5.3000   -1.009616E-01  1.236849E-01  1.666291E+01
     5.3500   -1.116973E-01  1.211625E-01  1.688087E+01
     5.4000   -1.162377E-01  1.183015E-01  1.709170E+01
     5.4500   -1.151726E-01  1.151868E-01  1.729449E+01
     5.5000   -1.097258E-01  1.121746E-01  1.748809E+01
     5.5500   -1.011708E-01  1.095294E-01  1.767196E+01
     5.6000   -9.068102E-02  1.075409E-01  1.784630E+01
     5.6500   -7.889207E-02  1.063273E-01  1.801355E+01
     5.7000   -6.639497E-02  1.063242E-01  1.817512E+01
     5.7500   -5.305593E-02  1.077164E-01  1.833454E+01
     5.8000   -3.830972E-02  1.105905E-01  1.849581E+01
     5.8500   -2.122049E-02  1.147396E-01  1.866354E+01
     5.9000   -1.150264E-03  1.202085E-01  1.883999E+01
     5.9500    2.235982E-02  1.267893E-01  1.902684E+01
     6.0000    4.917823E-02  1.342345E-01  1.922465E+01
     6.0500    7.846367E-02  1.419459E-01  1.943524E+01
     6.1000    1.082406E-01  1.499615E-01  1.965594E+01
     6.1500    1.359778E-01  1.580358E-01  1.988566E+01
     6.2000    1.586769E-01  1.659472E-01  2.012325E+01
     6.2500    1.732570E-01  1.734980E-01  2.036764E+01
     6.3000    1.770052E-01  1.805135E-01  2.061783E+01
     6.3500    1.680279E-01  1.868403E-01  2.087295E+01
