# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Cu1
# Reduced formula:  Cu
# space group: (Fm-3m), space number:  (225)
# abc:  2.529625   2.529625   2.529625
# angles: 60.000000  60.000000  60.000000
# sites: 1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.433 Rnm= 1.488 K  shell
# Pot 1 Z=29 Rmt= 1.359 Rnm= 1.402
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.472E+00 kf=1.806E+00 Vint=-1.591E+01 Rs_int= 2.008
# PATH  Rmax= 4.425,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5296
#           2       0.00000     23.24      6.00     2   3.5774
#           3       0.00000     12.39     48.00     3   3.7944
#           4       0.00000      9.23     48.00     3   4.3183
#           5       0.00000     56.14     24.00     2   4.3814
#     5/   5 paths used
#  xsedge+50, used to normalize mu           2.4815E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8988.528     -3.472   0.000 -3.53065E-01  4.97191E-01 -8.49682E-01
    8988.537     -3.462   0.050 -3.45513E-01  5.04156E-01 -8.48942E-01
    8988.566     -3.434   0.100 -3.37850E-01  5.11122E-01 -8.48092E-01
    8988.613     -3.386   0.150 -3.14520E-01  5.31788E-01 -8.44993E-01
    8988.680     -3.319   0.200 -2.90242E-01  5.52454E-01 -8.40951E-01
    8988.766     -3.234   0.250 -2.50209E-01  5.84692E-01 -8.32514E-01
    8988.871     -3.129   0.300 -2.07797E-01  6.16930E-01 -8.21720E-01
    8988.994     -3.005   0.350 -1.52930E-01  6.54586E-01 -8.03800E-01
    8989.137     -2.862   0.400 -9.41087E-02  6.92242E-01 -7.81982E-01
    8989.299     -2.700   0.450 -2.81869E-02  7.27365E-01 -7.50597E-01
    8989.480     -2.519   0.500  4.28454E-02  7.62488E-01 -7.14205E-01
    8989.680     -2.319   0.550  1.18065E-01  7.90584E-01 -6.66824E-01
    8989.899     -2.100   0.600  1.98614E-01  8.18681E-01 -6.14251E-01
    8990.137     -1.862   0.650  2.83171E-01  8.39499E-01 -5.50726E-01
    8990.395     -1.605   0.700  3.71981E-01  8.60317E-01 -4.83081E-01
    8990.671     -1.329   0.750  4.64657E-01  8.75331E-01 -4.06108E-01
    8990.966     -1.033   0.800  5.59121E-01  8.90344E-01 -3.27423E-01
    8991.280     -0.719   0.850  6.55687E-01  9.01083E-01 -2.42596E-01
    8991.614     -0.386   0.900  7.50374E-01  9.11821E-01 -1.59616E-01
    8991.966     -0.033   0.950  8.43640E-01  9.19430E-01 -7.49723E-02
    8992.338      0.338   1.000  9.30678E-01  9.27038E-01  3.60200E-03
    8992.728      0.729   1.050  1.01170E+00  9.32311E-01  7.86615E-02
    8993.138      1.138   1.100  1.08230E+00  9.37583E-01  1.43553E-01
    8993.566      1.567   1.150  1.14247E+00  9.41068E-01  2.00103E-01
    8994.014      2.015   1.200  1.18928E+00  9.44552E-01  2.43535E-01
    8994.481      2.481   1.250  1.22272E+00  9.46645E-01  2.75308E-01
    8994.967      2.967   1.300  1.24206E+00  9.48738E-01  2.93129E-01
    8995.471      3.472   1.350  1.24787E+00  9.49742E-01  2.98691E-01
    8995.995      3.996   1.400  1.24163E+00  9.50746E-01  2.92181E-01
    8996.538      4.539   1.450  1.22493E+00  9.50903E-01  2.76051E-01
    8997.100      5.101   1.500  1.20079E+00  9.51061E-01  2.52305E-01
    8997.681      5.682   1.550  1.17190E+00  9.50576E-01  2.24321E-01
    8998.281      6.282   1.600  1.14163E+00  9.50091E-01  1.94756E-01
    8998.900      6.901   1.650  1.11284E+00  9.49137E-01  1.67014E-01
    8999.539      7.539   1.700  1.08837E+00  9.48184E-01  1.43508E-01
    9000.196      8.196   1.750  1.07027E+00  9.46911E-01  1.26710E-01
    9000.872      8.873   1.800  1.05942E+00  9.45639E-01  1.17276E-01
    9001.567      9.568   1.850  1.05626E+00  9.44163E-01  1.15933E-01
    9002.282     10.282   1.900  1.05898E+00  9.42688E-01  1.20676E-01
    9003.015     11.016   1.950  1.06600E+00  9.40799E-01  1.30340E-01
    9003.768     11.768   2.000  1.07356E+00  9.38910E-01  1.40628E-01
    9004.539     12.540   2.050  1.08230E+00  9.39020E-01  1.50171E-01
    9005.330     13.330   2.100  1.08424E+00  9.39130E-01  1.52632E-01
