# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Ni1
# Reduced formula:  Ni
# space group: (Fm-3m), space number:  (225)
# abc:  2.457299   2.457299   2.457299
# angles: 60.000000  60.000000  60.000000
# sites: 1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.308 Rnm= 1.345 K  shell
# Pot 1 Z=28 Rmt= 1.325 Rnm= 1.366
# Gam_ch=1.576E+00 H-L exch
# Mu=-1.136E+01 kf=2.075E+00 Vint=-2.777E+01 Rs_int= 1.747
# PATH  Rmax= 4.964,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.4573
#           2       0.00000     22.76      6.00     2   3.4752
#           3       0.00000     10.56     48.00     3   3.6859
#           4       0.00000      9.47     48.00     3   4.1949
#           5       0.00000     55.39     24.00     2   4.2562
#           6       0.00000     11.03     48.00     3   4.5854
#           7       0.00000     22.13     96.00     3   4.5854
#           8       0.00000     19.10     12.00     2   4.9146
#           9       0.00000      8.56     12.00     3   4.9146
#          10       0.00000     49.90     24.00     3   4.9146
#          11       0.00000     10.29     12.00     4   4.9146
#          12       0.00000      4.04     12.00     4   4.9146
#          14       0.00000     40.97     12.00     4   4.9146
#    13/  15 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -3.743525E-01  3.801739E-01 -1.395571E+00
     0.1000   -3.740819E-01  3.802699E-01 -1.390149E+00
     0.1500   -3.732045E-01  3.805509E-01 -1.373986E+00
     0.2000   -3.721830E-01  3.807923E-01 -1.357750E+00
     0.2500   -3.702325E-01  3.811516E-01 -1.330857E+00
     0.3000   -3.678859E-01  3.814027E-01 -1.303771E+00
     0.3500   -3.641036E-01  3.816742E-01 -1.266187E+00
     0.4000   -3.595630E-01  3.817397E-01 -1.228261E+00
     0.4500   -3.529360E-01  3.816984E-01 -1.180106E+00
     0.5000   -3.451150E-01  3.813294E-01 -1.131453E+00
     0.5500   -3.344786E-01  3.807446E-01 -1.072683E+00
     0.6000   -3.221945E-01  3.796910E-01 -1.013278E+00
     0.6500   -3.063968E-01  3.782912E-01 -9.440663E-01
     0.7000   -2.885916E-01  3.762701E-01 -8.741212E-01
     0.7500   -2.667336E-01  3.737872E-01 -7.946197E-01
     0.8000   -2.427397E-01  3.705269E-01 -7.143418E-01
     0.8500   -2.144774E-01  3.666977E-01 -6.247431E-01
     0.9000   -1.843445E-01  3.619410E-01 -5.343965E-01
     0.9500   -1.502270E-01  3.565174E-01 -4.349593E-01
     1.0000   -1.150440E-01  3.500356E-01 -3.348885E-01
     1.0500   -7.680442E-02  3.427965E-01 -2.259707E-01
     1.1000   -3.891439E-02  3.344050E-01 -1.166333E-01
     1.1500    4.061701E-04  3.251770E-01  1.249074E-03
     1.2000    3.743631E-02  3.147581E-01  1.192190E-01
     1.2500    7.373447E-02  3.035333E-01  2.453755E-01
     1.3000    1.055936E-01  2.911496E-01  3.711403E-01
     1.3500    1.342108E-01  2.777874E-01  5.042401E-01
     1.4000    1.564824E-01  2.633882E-01  6.361627E-01
     1.4500    1.735461E-01  2.481494E-01  7.745037E-01
     1.5000    1.832911E-01  2.320930E-01  9.103712E-01
     1.5500    1.869289E-01  2.153761E-01  1.050996E+00
     1.6000    1.837577E-01  1.981864E-01  1.186857E+00
     1.6500    1.752071E-01  1.806536E-01  1.324619E+00
     1.7000    1.620438E-01  1.631655E-01  1.453474E+00
     1.7500    1.458763E-01  1.458813E-01  1.579077E+00
     1.8000    1.285251E-01  1.294196E-01  1.688437E+00
     1.8500    1.114479E-01  1.140736E-01  1.785768E+00
     1.9000    9.664432E-02  1.007267E-01  1.856476E+00
     1.9500    8.483070E-02  8.986015E-02  1.906950E+00
     2.0000    7.715978E-02  8.243866E-02  1.930600E+00
     2.0500    7.279745E-02  7.859008E-02  1.957139E+00
     2.1000    7.171200E-02  7.852907E-02  1.990547E+00
     2.1500    7.216481E-02  8.137551E-02  2.051191E+00
     2.2000    7.199388E-02  8.591964E-02  2.148129E+00
     2.2500    6.691540E-02  9.078902E-02  2.312908E+00
     2.3000    5.637344E-02  9.559969E-02  2.510927E+00
     2.3500    3.929269E-02  9.963071E-02  2.736196E+00
     2.4000    1.611603E-02  1.024041E-01  2.983559E+00
     2.4500   -1.160298E-02  1.037994E-01  3.253609E+00
     2.5000   -3.953789E-02  1.034050E-01  3.533941E+00
     2.5500   -6.373779E-02  1.011027E-01  3.823695E+00
     2.6000   -8.047474E-02  9.682169E-02  4.122791E+00
     2.6500   -9.310483E-02  9.725507E-02  4.419197E+00
     2.7000   -9.714295E-02  9.714526E-02  4.719282E+00
     2.7500   -9.185879E-02  9.647133E-02  5.022868E+00
     2.8000   -7.763797E-02  9.522073E-02  5.329856E+00
     2.8500   -5.938405E-02  9.874602E-02  5.637956E+00
     2.9000   -3.376399E-02  1.017940E-01  5.945091E+00
     2.9500   -3.333442E-03  1.043396E-01  6.251232E+00
     3.0000    2.869207E-02  1.063636E-01  6.556323E+00
     3.0500    5.929068E-02  1.116818E-01  6.842835E+00
     3.1000    8.678917E-02  1.161558E-01  7.126993E+00
     3.1500    1.080598E-01  1.197482E-01  7.408473E+00
     3.2000    1.207334E-01  1.224387E-01  7.686887E+00
     3.2500    1.264549E-01  1.270271E-01  7.948938E+00
     3.3000    1.222215E-01  1.303328E-01  8.208643E+00
     3.3500    1.084074E-01  1.323354E-01  8.464786E+00
     3.4000    8.660089E-02  1.330651E-01  8.716120E+00
     3.4500    6.000396E-02  1.344427E-01  8.962133E+00
     3.5000    2.944958E-02  1.343195E-01  9.203732E+00
     3.5500   -1.847120E-03  1.328480E-01  9.438682E+00
     3.6000   -3.100089E-02  1.302831E-01  9.665033E+00
     3.6500   -5.711029E-02  1.275329E-01  9.889091E+00
     3.7000   -7.784839E-02  1.237101E-01  1.010541E+01
     3.7500   -9.223824E-02  1.190475E-01  1.031118E+01
     3.8000   -1.003859E-01  1.139002E-01  1.050349E+01
     3.8500   -1.040650E-01  1.090383E-01  1.069239E+01
     3.9000   -1.032991E-01  1.041542E-01  1.086735E+01
     3.9500   -9.960065E-02  9.964919E-02  1.102679E+01
     4.0000   -9.450644E-02  9.596998E-02  1.117044E+01
     4.0500   -8.818942E-02  9.279728E-02  1.131203E+01
     4.1000   -8.188424E-02  9.082512E-02  1.144301E+01
     4.1500   -7.590087E-02  9.027218E-02  1.156761E+01
     4.2000   -7.002418E-02  9.122545E-02  1.169129E+01
     4.2500   -6.259110E-02  9.269315E-02  1.182507E+01
     4.3000   -5.394924E-02  9.524195E-02  1.196419E+01
     4.3500   -4.340655E-02  9.868860E-02  1.211096E+01
     4.4000   -3.037862E-02  1.028149E-01  1.226642E+01
     4.4500   -1.447367E-02  1.065782E-01  1.243015E+01
     4.5000    3.718783E-03  1.106551E-01  1.259998E+01
     4.5500    2.383990E-02  1.149310E-01  1.277532E+01
     4.6000    4.525474E-02  1.193163E-01  1.295539E+01
     4.6500    6.659945E-02  1.230513E-01  1.313827E+01
     4.7000    8.724000E-02  1.269616E-01  1.332391E+01
     4.7500    1.062833E-01  1.310490E-01  1.351226E+01
     4.8000    1.227801E-01  1.353122E-01  1.370339E+01
     4.8500    1.355040E-01  1.395360E-01  1.389618E+01
     4.9000    1.438719E-01  1.440158E-01  1.409247E+01
     4.9500    1.468978E-01  1.486905E-01  1.429261E+01
     5.0000    1.436483E-01  1.534709E-01  1.449688E+01
     5.0500    1.332842E-01  1.581674E-01  1.470572E+01
     5.1000    1.154447E-01  1.627531E-01  1.491942E+01
     5.1500    9.016573E-02  1.670494E-01  1.513782E+01
     5.2000    5.817234E-02  1.708690E-01  1.536057E+01
     5.2500    2.059139E-02  1.738844E-01  1.558926E+01
     5.3000   -1.997295E-02  1.760134E-01  1.582168E+01
     5.3500   -6.056243E-02  1.770698E-01  1.605704E+01
     5.4000   -9.789372E-02  1.768911E-01  1.629442E+01
     5.4500   -1.287487E-01  1.750461E-01  1.653439E+01
     5.5000   -1.503116E-01  1.717092E-01  1.677419E+01
     5.5500   -1.609453E-01  1.668316E-01  1.701233E+01
     5.6000   -1.603388E-01  1.604201E-01  1.724692E+01
     5.6500   -1.491717E-01  1.521518E-01  1.747701E+01
     5.7000   -1.302729E-01  1.426034E-01  1.769767E+01
     5.7500   -1.070531E-01  1.320742E-01  1.790446E+01
     5.8000   -8.322355E-02  1.210358E-01  1.809138E+01
     5.8500   -6.198046E-02  1.099384E-01  1.825061E+01
     5.9000   -4.594341E-02  1.002046E-01  1.837325E+01
     5.9500   -3.586443E-02  9.330290E-02  1.845501E+01
     6.0000   -3.075021E-02  9.085070E-02  1.850427E+01
     6.0500   -2.809699E-02  9.393455E-02  1.854579E+01
     6.1000   -2.400529E-02  1.026790E-01  1.861358E+01
     6.1500   -1.442780E-02  1.159397E-01  1.872479E+01
     6.2000    3.959404E-03  1.322689E-01  1.887949E+01
     6.2500    3.287971E-02  1.503940E-01  1.906996E+01
     6.3000    7.182379E-02  1.693255E-01  1.928761E+01
     6.3500    1.178064E-01  1.883082E-01  1.952546E+01
     6.4000    1.655914E-01  2.067505E-01  1.977839E+01
     6.4500    2.083793E-01  2.241726E-01  2.004274E+01
     6.5000    2.388656E-01  2.401742E-01  2.031592E+01
     6.5500    2.498226E-01  2.538792E-01  2.059936E+01
     6.6000    2.368457E-01  2.653710E-01  2.088827E+01
     6.6500    1.986723E-01  2.744319E-01  2.118165E+01
     6.7000    1.377115E-01  2.808898E-01  2.147875E+01
     6.7500    5.992275E-02  2.846164E-01  2.177902E+01
     6.8000   -2.592475E-02  2.855260E-01  2.208207E+01
     6.8500   -1.095044E-01  2.835748E-01  2.238761E+01
     6.9000   -1.804995E-01  2.787603E-01  2.269546E+01
     6.9500   -2.302215E-01  2.711208E-01  2.300552E+01
     7.0000   -2.530008E-01  2.607340E-01  2.331778E+01
     7.0500   -2.465995E-01  2.472428E-01  2.363410E+01
     7.1000   -2.138799E-01  2.313054E-01  2.395259E+01
     7.1500   -1.614011E-01  2.131316E-01  2.427360E+01
     7.2000   -9.838294E-02  1.929626E-01  2.459773E+01
     7.2500   -3.511710E-02  1.710690E-01  2.492599E+01
     7.3000    1.877973E-02  1.477514E-01  2.526019E+01
     7.3500    5.596336E-02  1.233445E-01  2.560367E+01
     7.4000    7.252971E-02  9.823439E-02  2.596334E+01
     7.4500    6.855173E-02  7.292105E-02  2.635561E+01
     7.5000    4.789923E-02  4.828087E-02  2.682935E+01
     7.5500    1.736521E-02  2.699979E-02  2.757571E+01
     7.6000   -1.442049E-02  2.226511E-02  2.897886E+01
     7.6500   -3.906212E-02  3.919801E-02  2.992842E+01
     7.7000   -4.987661E-02  6.082200E-02  3.045444E+01
     7.7500   -4.312517E-02  8.237194E-02  3.086492E+01
     7.8000   -1.866865E-02  1.027604E-01  3.123324E+01
