 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Ni1
 Reduced formula:  Ni
 space group: (Fm-3m), space number:  (225)
 abc:  2.457299   2.457299   2.457299
 angles: 60.000000  60.000000  60.000000
 sites: 1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=28 Rmt= 1.308 Rnm= 1.345 K  shell
 Pot 1 Z=28 Rmt= 1.325 Rnm= 1.366
 Gam_ch=1.576E+00 H-L exch
 Mu=-1.136E+01 kf=2.075E+00 Vint=-2.777E+01 Rs_int= 1.747
 PATH  Rmax= 4.964,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    4      icalc       2
 -----------------------------------------------------------------------
   3  48.000   4.1949    2.5812  -11.35689 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  28 Ni       absorbing atom
     3.4752   -0.0000   -0.0000  1  28 Ni
     1.7376    1.7376   -0.0000  1  28 Ni
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.3073E+00  5.3455E-06 -2.7020E+00  1.004E+00  2.0077E+01  2.0761E+00
  0.100  3.3071E+00  4.1622E-03 -3.5208E+00  1.004E+00  2.0099E+01  2.0784E+00
  0.200  3.3065E+00  8.1985E-03 -4.3025E+00  1.005E+00  2.0163E+01  2.0853E+00
  0.300  3.3054E+00  1.1997E-02 -5.0466E+00  1.005E+00  2.0265E+01  2.0967E+00
  0.400  3.3037E+00  1.5469E-02 -5.7540E+00  1.005E+00  2.0394E+01  2.1127E+00
  0.500  3.3015E+00  1.8560E-02 -6.4254E+00  1.006E+00  2.0538E+01  2.1330E+00
  0.600  3.2985E+00  2.1240E-02 -7.0623E+00  1.006E+00  2.0682E+01  2.1576E+00
  0.700  3.2946E+00  2.3509E-02 -7.6660E+00  1.007E+00  2.0809E+01  2.1863E+00
  0.800  3.2897E+00  2.5387E-02 -8.2377E+00  1.008E+00  2.0898E+01  2.2191E+00
  0.900  3.2835E+00  2.6903E-02 -8.7790E+00  1.009E+00  2.0932E+01  2.2558E+00
  1.000  3.2759E+00  2.8094E-02 -9.2912E+00  1.011E+00  2.0895E+01  2.2962E+00
  1.100  3.2666E+00  2.8993E-02 -9.7758E+00  1.012E+00  2.0773E+01  2.3402E+00
  1.200  3.2554E+00  2.9628E-02 -1.0234E+01  1.014E+00  2.0557E+01  2.3877E+00
  1.300  3.2421E+00  2.9999E-02 -1.0668E+01  1.017E+00  2.0247E+01  2.4387E+00
  1.400  3.2264E+00  3.0153E-02 -1.1078E+01  1.019E+00  1.9847E+01  2.4929E+00
  1.500  3.2079E+00  3.0073E-02 -1.1467E+01  1.023E+00  1.9368E+01  2.5504E+00
  1.600  3.1865E+00  2.9743E-02 -1.1836E+01  1.026E+00  1.8825E+01  2.6112E+00
  1.700  3.1617E+00  2.9141E-02 -1.2187E+01  1.030E+00  1.8240E+01  2.6751E+00
  1.800  3.1332E+00  2.8236E-02 -1.2522E+01  1.034E+00  1.7634E+01  2.7421E+00
  1.900  3.1006E+00  2.6987E-02 -1.2845E+01  1.039E+00  1.7030E+01  2.8124E+00
  2.000  3.0635E+00  2.5360E-02 -1.3160E+01  1.043E+00  1.6452E+01  2.8859E+00
  2.200  2.9742E+00  2.0955E-02 -1.3801E+01  1.052E+00  1.5461E+01  3.0432E+00
  2.400  2.8462E+00  1.6508E-02 -1.4667E+01  1.058E+00  1.4825E+01  3.2226E+00
  2.600  2.7120E+00  2.5259E-02 -1.5385E+01  1.179E+00  8.5434E+00  3.4077E+00
  2.800  2.6939E+00  3.2001E-02 -1.6227E+01  1.240E+00  6.8412E+00  3.5446E+00
  3.000  2.6749E+00  4.1318E-02 -1.7058E+01  1.263E+00  6.1517E+00  3.6790E+00
  3.200  2.6300E+00  5.4672E-02 -1.7730E+01  1.268E+00  5.8227E+00  3.8235E+00
  3.400  2.5717E+00  6.9577E-02 -1.8303E+01  1.261E+00  5.6793E+00  3.9738E+00
  3.600  2.5049E+00  8.5764E-02 -1.8783E+01  1.250E+00  5.6442E+00  4.1293E+00
  3.800  2.4308E+00  1.0018E-01 -1.9201E+01  1.233E+00  5.6801E+00  4.2895E+00
  4.000  2.3517E+00  1.1324E-01 -1.9568E+01  1.218E+00  5.7662E+00  4.4537E+00
  4.200  2.2696E+00  1.2272E-01 -1.9894E+01  1.198E+00  5.8902E+00  4.6217E+00
  4.400  2.1843E+00  1.2907E-01 -2.0189E+01  1.180E+00  6.0440E+00  4.7929E+00
  4.600  2.0969E+00  1.3252E-01 -2.0462E+01  1.164E+00  6.2222E+00  4.9669E+00
  4.800  2.0089E+00  1.3212E-01 -2.0711E+01  1.148E+00  6.4209E+00  5.1436E+00
  5.000  1.9196E+00  1.2937E-01 -2.0944E+01  1.133E+00  6.6373E+00  5.3225E+00
  5.200  1.8297E+00  1.2439E-01 -2.1165E+01  1.119E+00  6.8693E+00  5.5033E+00
  5.400  1.7394E+00  1.1724E-01 -2.1371E+01  1.106E+00  7.1151E+00  5.6860E+00
  5.600  1.6485E+00  1.0878E-01 -2.1568E+01  1.093E+00  7.3735E+00  5.8702E+00
  5.800  1.5578E+00  9.9202E-02 -2.1759E+01  1.081E+00  7.6435E+00  6.0558E+00
  6.000  1.4671E+00  8.9202E-02 -2.1942E+01  1.070E+00  7.9241E+00  6.2426E+00
  6.500  1.2435E+00  6.4012E-02 -2.2391E+01  1.045E+00  8.6678E+00  6.7142E+00
  7.000  1.0276E+00  4.2628E-02 -2.2839E+01  1.025E+00  9.4655E+00  7.1910E+00
  7.500  8.2185E-01  2.7169E-02 -2.3306E+01  1.010E+00  1.0311E+01  7.6719E+00
  8.000  6.2643E-01  1.7871E-02 -2.3792E+01  9.978E-01  1.1201E+01  8.1559E+00
  8.500  4.3673E-01  1.3301E-02 -2.4269E+01  9.874E-01  1.2132E+01  8.6424E+00
  9.000  2.5604E-01  1.1987E-02 -2.4630E+01  9.778E-01  1.3102E+01  9.1308E+00
  9.500  8.0889E-02  1.2160E-02 -2.4903E+01  9.673E-01  1.4107E+01  9.6208E+00
 10.000 -8.9009E-02  1.2785E-02 -2.5141E+01  9.569E-01  1.5148E+01  1.0112E+01
 11.000 -4.1191E-01  1.3180E-02 -2.5594E+01  9.425E-01  1.7327E+01  1.1098E+01
 12.000 -7.1315E-01  1.1316E-02 -2.5976E+01  9.339E-01  1.9632E+01  1.2087E+01
 13.000 -9.9127E-01  8.9421E-03 -2.6186E+01  9.290E-01  2.2053E+01  1.3078E+01
 14.000 -1.2475E+00  7.8293E-03 -2.6291E+01  9.269E-01  2.4586E+01  1.4070E+01
 15.000 -1.4866E+00  7.4859E-03 -2.6458E+01  9.260E-01  2.7226E+01  1.5064E+01
 16.000 -1.7079E+00  6.9942E-03 -2.6689E+01  9.263E-01  2.9967E+01  1.6059E+01
 17.000 -1.9146E+00  6.4339E-03 -2.6935E+01  9.271E-01  3.2806E+01  1.7054E+01
 18.000 -2.1078E+00  5.7876E-03 -2.7197E+01  9.282E-01  3.5739E+01  1.8050E+01
 19.000 -2.2883E+00  5.1610E-03 -2.7451E+01  9.296E-01  3.8763E+01  1.9047E+01
