PATH  Rmax= 4.964,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000    12.000     2   2.4573
        2     0.00000    22.758     6.000     2   3.4752
        3     0.00000    10.563    48.000     3   3.6859
        4     0.00000     9.465    48.000     3   4.1949
        5     0.00000    55.394    24.000     2   4.2562
        6     0.00000    11.029    48.000     3   4.5854
        7     0.00000    22.130    96.000     3   4.5854
        8     0.00000    19.100    12.000     2   4.9146
        9     0.00000     8.564    12.000     3   4.9146
       10     0.00000    49.896    24.000     3   4.9146
       11     0.00000    10.295    12.000     4   4.9146
       12     0.00000     4.041    12.000     4   4.9146
       14     0.00000    40.970    12.000     4   4.9146
       15     0.00000     2.915    48.000     4   4.9146
       16     0.00000     3.342    48.000     4   4.9146
