# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Ni1
# Reduced formula:  Ni
# space group: (Fm-3m), space number:  (225)
# abc:  2.457299   2.457299   2.457299
# angles: 60.000000  60.000000  60.000000
# sites: 1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.308 Rnm= 1.345 K  shell
# Pot 1 Z=28 Rmt= 1.325 Rnm= 1.366
# Gam_ch=1.576E+00 H-L exch
# Mu=-1.136E+01 kf=2.075E+00 Vint=-2.777E+01 Rs_int= 1.747
# PATH  Rmax= 4.964,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.4573
#           2       0.00000     22.76      6.00     2   3.4752
#           3       0.00000     10.56     48.00     3   3.6859
#           4       0.00000      9.47     48.00     3   4.1949
#           5       0.00000     55.39     24.00     2   4.2562
#           6       0.00000     11.03     48.00     3   4.5854
#           7       0.00000     22.13     96.00     3   4.5854
#           8       0.00000     19.10     12.00     2   4.9146
#           9       0.00000      8.56     12.00     3   4.9146
#          10       0.00000     49.90     24.00     3   4.9146
#          11       0.00000     10.29     12.00     4   4.9146
#          12       0.00000      4.04     12.00     4   4.9146
#          14       0.00000     40.97     12.00     4   4.9146
#    13/  15 paths used
#  xsedge+50, used to normalize mu           2.6776E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8342.670    -11.347   0.050  1.25731E-01  4.31737E-01 -3.74352E-01
    8342.699    -11.319   0.100  1.32251E-01  4.38204E-01 -3.74082E-01
    8342.746    -11.271   0.150  1.51630E-01  4.57363E-01 -3.73204E-01
    8342.813    -11.204   0.200  1.71130E-01  4.76522E-01 -3.72183E-01
    8342.899    -11.119   0.250  2.01568E-01  5.06169E-01 -3.70232E-01
    8343.004    -11.014   0.300  2.32342E-01  5.35815E-01 -3.67886E-01
    8343.127    -10.890   0.350  2.68383E-01  5.69820E-01 -3.64104E-01
    8343.270    -10.747   0.400  3.05078E-01  6.03825E-01 -3.59563E-01
    8343.432    -10.585   0.450  3.40512E-01  6.35054E-01 -3.52936E-01
    8343.613    -10.404   0.500  3.76996E-01  6.66283E-01 -3.45115E-01
    8343.813    -10.204   0.550  4.09700E-01  6.91510E-01 -3.34479E-01
    8344.032     -9.985   0.600  4.43890E-01  7.16737E-01 -3.22195E-01
    8344.270     -9.747   0.650  4.75437E-01  7.36379E-01 -3.06397E-01
    8344.528     -9.490   0.700  5.08856E-01  7.56021E-01 -2.88592E-01
    8344.804     -9.214   0.750  5.41740E-01  7.71569E-01 -2.66734E-01
    8345.099     -8.919   0.800  5.76703E-01  7.87117E-01 -2.42740E-01
    8345.413     -8.604   0.850  6.12778E-01  7.99861E-01 -2.14477E-01
    8345.747     -8.271   0.900  6.50803E-01  8.12606E-01 -1.84344E-01
    8346.099     -7.918   0.950  6.90719E-01  8.23413E-01 -1.50227E-01
    8346.471     -7.547   1.000  7.31962E-01  8.34220E-01 -1.15044E-01
    8346.861     -7.156   1.050  7.74926E-01  8.43621E-01 -7.68044E-02
    8347.271     -6.747   1.100  8.18000E-01  8.53022E-01 -3.89144E-02
    8347.699     -6.318   1.150  8.61696E-01  8.61328E-01  4.06170E-04
    8348.147     -5.871   1.200  9.03733E-01  8.69635E-01  3.74363E-02
    8348.614     -5.404   1.250  9.44565E-01  8.77025E-01  7.37345E-02
    8349.100     -4.918   1.300  9.81684E-01  8.84414E-01  1.05594E-01
    8349.604     -4.413   1.350  1.01526E+00  8.90985E-01  1.34211E-01
    8350.128     -3.889   1.400  1.04321E+00  8.97555E-01  1.56482E-01
    8350.671     -3.346   1.450  1.06566E+00  9.03358E-01  1.73546E-01
    8351.233     -2.784   1.500  1.08138E+00  9.09162E-01  1.83291E-01
    8351.814     -2.203   1.550  1.09059E+00  9.14230E-01  1.86929E-01
    8352.414     -1.603   1.600  1.09337E+00  9.19297E-01  1.83758E-01
    8353.033     -0.984   1.650  1.09020E+00  9.23650E-01  1.75207E-01
    8353.672     -0.346   1.700  1.08257E+00  9.28002E-01  1.62044E-01
    8354.329      0.311   1.750  1.07120E+00  9.31658E-01  1.45876E-01
    8355.005      0.987   1.800  1.05860E+00  9.35314E-01  1.28525E-01
    8355.700      1.683   1.850  1.04543E+00  9.38291E-01  1.11448E-01
    8356.415      2.397   1.900  1.03438E+00  9.41268E-01  9.66443E-02
    8357.148      3.131   1.950  1.02541E+00  9.43555E-01  8.48307E-02
    8357.901      3.883   2.000  1.02040E+00  9.45842E-01  7.71598E-02
    8358.672      4.655   2.050  1.01761E+00  9.47216E-01  7.27975E-02
    8359.463      5.445   2.100  1.01797E+00  9.48590E-01  7.17120E-02
    8360.272      6.255   2.150  1.01983E+00  9.49963E-01  7.21648E-02
    8361.101      7.083   2.200  1.02108E+00  9.51337E-01  7.19939E-02
    8361.949      7.931   2.250  1.01627E+00  9.51539E-01  6.69154E-02
    8362.815      8.798   2.300  1.00620E+00  9.51741E-01  5.63734E-02
    8363.701      9.684   2.350  9.89847E-01  9.51944E-01  3.92927E-02
    8364.606     10.589   2.400  9.67670E-01  9.52146E-01  1.61160E-02
    8365.530     11.513   2.450  9.45064E-01  9.56251E-01 -1.16030E-02
    8366.473     12.455   2.500  9.22199E-01  9.60357E-01 -3.95379E-02
    8367.435     13.418   2.550  9.02891E-01  9.64463E-01 -6.37378E-02
    8368.416     14.399   2.600  8.90754E-01  9.68568E-01 -8.04747E-02
    8369.416     15.399   2.650  8.81022E-01  9.71196E-01 -9.31048E-02
    8370.435     16.418   2.700  8.79586E-01  9.73824E-01 -9.71430E-02
    8371.474     17.456   2.750  8.87194E-01  9.76451E-01 -9.18588E-02
    8372.531     18.513   2.800  9.03518E-01  9.79079E-01 -7.76380E-02
    8373.607     19.590   2.850  9.22569E-01  9.80463E-01 -5.93840E-02
    8374.703     20.685   2.900  9.48874E-01  9.81847E-01 -3.37640E-02
    8375.817     21.799   2.950  9.79971E-01  9.83231E-01 -3.33344E-03
    8376.951     22.933   3.000  1.01273E+00  9.84616E-01  2.86921E-02
    8378.103     24.085   3.050  1.04392E+00  9.85710E-01  5.92907E-02
    8379.275     25.257   3.100  1.07217E+00  9.86805E-01  8.67892E-02
    8380.465     26.448   3.150  1.09439E+00  9.87900E-01  1.08060E-01
    8381.675     27.657   3.200  1.10820E+00  9.88995E-01  1.20733E-01
    8382.904     28.886   3.250  1.11484E+00  9.89780E-01  1.26455E-01
    8384.151     30.134   3.300  1.11164E+00  9.90565E-01  1.22221E-01
    8385.418     31.401   3.350  1.09892E+00  9.91350E-01  1.08407E-01
    8386.704     32.687   3.400  1.07821E+00  9.92135E-01  8.66009E-02
    8388.009     33.991   3.450  1.05251E+00  9.92786E-01  6.00040E-02
    8389.333     35.315   3.500  1.02279E+00  9.93437E-01  2.94496E-02
    8390.676     36.658   3.550  9.92245E-01  9.94088E-01 -1.84712E-03
    8392.038     38.020   3.600  9.63757E-01  9.94739E-01 -3.10009E-02
    8393.419     39.402   3.650  9.38138E-01  9.95293E-01 -5.71103E-02
    8394.819     40.802   3.700  9.17829E-01  9.95847E-01 -7.78484E-02
    8396.239     42.221   3.750  9.03833E-01  9.96401E-01 -9.22382E-02
    8397.677     43.659   3.800  8.96071E-01  9.96955E-01 -1.00386E-01
    8399.134     45.117   3.850  8.92920E-01  9.97621E-01 -1.04065E-01
    8400.611     46.593   3.900  8.94238E-01  9.98288E-01 -1.03299E-01
    8402.106     48.088   3.950  8.98515E-01  9.98954E-01 -9.96006E-02
    8403.620     49.603   4.000  9.04210E-01  9.99620E-01 -9.45064E-02
    8405.154     51.136   4.050  9.10842E-01  9.99968E-01 -8.81894E-02
    8406.706     52.689   4.100  9.17475E-01  1.00032E+00 -8.18842E-02
    8408.278     54.261   4.150  9.23795E-01  1.00066E+00 -7.59009E-02
    8409.869     55.851   4.200  9.30020E-01  1.00101E+00 -7.00242E-02
    8411.478     57.461   4.250  9.38015E-01  1.00152E+00 -6.25911E-02
    8413.107     59.090   4.300  9.47250E-01  1.00204E+00 -5.39492E-02
    8414.755     60.737   4.350  9.58433E-01  1.00255E+00 -4.34066E-02
    8416.422     62.404   4.400  9.72161E-01  1.00306E+00 -3.03786E-02
    8418.108     64.090   4.450  9.88761E-01  1.00349E+00 -1.44737E-02
    8419.813     65.795   4.500  1.00771E+00  1.00392E+00  3.71878E-03
    8421.537     67.519   4.550  1.02865E+00  1.00435E+00  2.38399E-02
    8423.280     69.262   4.600  1.05093E+00  1.00478E+00  4.52547E-02
    8425.042     71.024   4.650  1.07289E+00  1.00496E+00  6.65994E-02
    8426.823     72.806   4.700  1.09414E+00  1.00513E+00  8.72400E-02
    8428.623     74.606   4.750  1.11377E+00  1.00531E+00  1.06283E-01
    8430.443     76.425   4.800  1.13082E+00  1.00548E+00  1.22780E-01
    8432.281     78.263   4.850  1.14385E+00  1.00552E+00  1.35504E-01
    8434.138     80.121   4.900  1.15244E+00  1.00556E+00  1.43872E-01
    8436.015     81.997   4.950  1.15558E+00  1.00560E+00  1.46898E-01
    8437.910     83.893   5.000  1.15231E+00  1.00564E+00  1.43648E-01
    8439.825     85.807   5.050  1.14153E+00  1.00547E+00  1.33284E-01
    8441.758     87.741   5.100  1.12312E+00  1.00529E+00  1.15445E-01
    8443.711     89.693   5.150  1.09713E+00  1.00511E+00  9.01657E-02
    8445.683     91.665   5.200  1.06429E+00  1.00494E+00  5.81723E-02
    8447.673     93.656   5.250  1.02556E+00  1.00456E+00  2.05914E-02
    8449.683     95.666   5.300  9.83833E-01  1.00419E+00 -1.99730E-02
    8451.712     97.694   5.350  9.42116E-01  1.00382E+00 -6.05624E-02
    8453.760     99.742   5.400  9.03757E-01  1.00345E+00 -9.78937E-02
    8455.827    101.809   5.450  8.71876E-01  1.00291E+00 -1.28749E-01
    8457.913    103.895   5.500  8.49484E-01  1.00238E+00 -1.50312E-01
    8460.018    106.000   5.550  8.38229E-01  1.00184E+00 -1.60945E-01
    8462.142    108.124   5.600  8.38405E-01  1.00130E+00 -1.60339E-01
    8464.285    110.267   5.650  8.49182E-01  1.00064E+00 -1.49172E-01
    8466.447    112.429   5.700  8.67788E-01  9.99968E-01 -1.30273E-01
    8468.628    114.611   5.750  8.90751E-01  9.99300E-01 -1.07053E-01
    8470.828    116.811   5.800  9.14301E-01  9.98632E-01 -8.32236E-02
    8473.048    119.030   5.850  9.35162E-01  9.97919E-01 -6.19805E-02
    8475.286    121.269   5.900  9.50723E-01  9.97206E-01 -4.59434E-02
    8477.544    123.526   5.950  9.60235E-01  9.96493E-01 -3.58644E-02
    8479.820    125.802   6.000  9.64717E-01  9.95780E-01 -3.07502E-02
    8482.116    128.098   6.050  9.66682E-01  9.95043E-01 -2.80970E-02
    8484.430    130.413   6.100  9.70095E-01  9.94306E-01 -2.40053E-02
    8486.764    132.746   6.150  9.79029E-01  9.93570E-01 -1.44278E-02
    8489.116    135.099   6.200  9.96820E-01  9.92833E-01  3.95940E-03
    8491.488    137.471   6.250  1.02518E+00  9.92096E-01  3.28797E-02
    8493.879    139.861   6.300  1.06357E+00  9.91359E-01  7.18238E-02
    8496.289    142.271   6.350  1.10898E+00  9.90622E-01  1.17806E-01
    8498.718    144.700   6.400  1.15612E+00  9.89886E-01  1.65591E-01
    8501.165    147.148   6.450  1.19817E+00  9.89149E-01  2.08379E-01
    8503.632    149.615   6.500  1.22782E+00  9.88412E-01  2.38866E-01
    8506.118    152.101   6.550  1.23793E+00  9.87738E-01  2.49823E-01
    8508.624    154.606   6.600  1.22407E+00  9.87064E-01  2.36846E-01
    8511.148    157.130   6.650  1.18504E+00  9.86391E-01  1.98672E-01
    8513.691    159.673   6.700  1.12330E+00  9.85717E-01  1.37712E-01
    8516.253    162.235   6.750  1.04486E+00  9.85043E-01  5.99227E-02
    8518.834    164.817   6.800  9.58510E-01  9.84370E-01 -2.59248E-02
    8521.435    167.417   6.850  8.74556E-01  9.83696E-01 -1.09504E-01
    8524.054    170.036   6.900  8.03269E-01  9.83022E-01 -1.80499E-01
    8526.692    172.675   6.950  7.53264E-01  9.82348E-01 -2.30222E-01
    8529.350    175.332   7.000  7.30126E-01  9.81675E-01 -2.53001E-01
    8532.026    178.009   7.050  7.36031E-01  9.80975E-01 -2.46599E-01
    8534.722    180.704   7.100  7.68039E-01  9.80276E-01 -2.13880E-01
